Year,Day,Temperature
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=1&amp;view=p1"">1</a>]","[<td class=""data_0_0"">11.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=2&amp;view=p1"">2</a>]","[<td class=""data_0_0"">16.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=3&amp;view=p1"">3</a>]","[<td class=""data_0_0"">19.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=4&amp;view=p1"">4</a>]","[<td class=""data_0_0"">12.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=5&amp;view=p1"">5</a>]","[<td class=""data_0_0"">9.1</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=6&amp;view=p1"">6</a>]","[<td class=""data_0_0"">4.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=7&amp;view=p1"">7</a>]","[<td class=""data_0_0"">10.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=8&amp;view=p1"">8</a>]","[<td class=""data_0_0"">9.0</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=9&amp;view=p1"">9</a>]","[<td class=""data_0_0"">6.9</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=10&amp;view=p1"">10</a>]","[<td class=""data_0_0"">12.3</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=11&amp;view=p1"">11</a>]","[<td class=""data_0_0"">14.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=12&amp;view=p1"">12</a>]","[<td class=""data_0_0"">17.1</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=13&amp;view=p1"">13</a>]","[<td class=""data_0_0"">13.4</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=14&amp;view=p1"">14</a>]","[<td class=""data_0_0"">10.7</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=15&amp;view=p1"">15</a>]","[<td class=""data_0_0"">14.2</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=16&amp;view=p1"">16</a>]","[<td class=""data_0_0"">11.6</td>]"
2018,"[<a href=""hourly_s1.php?prec_no=33&amp;block_no=47584&amp;year=2018&amp;month=04&amp;day=17&amp;view=p1"">17</a>]","[<td class=""data_0_0"">15.7</td>]"
